k,kmeans_inertia,kmeans_silhouette,gmm_bic
2,831.2841961474999,0.5995567238920892,-148088.1165403936
3,478.3883535603264,0.6583800969028011,-211537.7513096921
4,245.719335865731,0.6988764366173303,-263286.4601945427
5,213.66022761822109,0.7022969881335914,-268287.199708581
6,184.18214976134556,0.5400538076718144,-271904.8612190711
7,161.75601612806818,0.5601281205101583,-276208.20028383203
8,143.76841365193675,0.4427833864024902,-282597.83808958915
9,125.35352596140949,0.41210879486605234,-290568.69224039844
10,109.72198204652155,0.39239405255833176,-281763.82601141284
